訂單時間,廠商訂單編號,綠界物流訂單編號,MID,訂單金額,收件人姓名,收件人手機 / 市話,物流廠商,服務名稱,純配送 / 貨到付款,溫層,宅配規格(長+寬+高),物流狀態,配送編號 / 托運單號,交貨便代碼 / 店到店編號,到店日期,商品重量,實際重量,初始物流運費,實際物流運費,加價費用,圈存狀態,物流費扣款日期,物流代收款項,物流代收手續費率,物流代收手續費,物流代收款項撥款金額,物流代收款項撥款日期,備註,
2024-10-07 13:11:36,h1pr00000059303075,38305007,3418108,320,Sophia Taylor,0966194926/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",賣家已到門市寄件,K00593190745,SN903298,"=""", - , - , - ,69,0,保留中,,320,0.79%,3,317,,,
2024-10-04 17:45:23,h1pr00000062432193,38271077,3418108,315,Sarah Anderson,0943646057/,7-ELEVEN(交貨便),超商門市寄/取貨,純配送,常溫,"=""",包裹配達取件門市,J91944379076,SN550560,2024/10/07 08:40:09 AM, - , - , - ,69,0,已歸還,2024/10/08,0,0%,0,0,,,
2024-09-30 19:12:09,h1pr00000049024763,38212527,3418108,315,Sophia White,0911745466/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80446153367,SN524272,2024/10/03 08:40:09 AM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,2024/10/08,,
2024-09-30 19:11:30,h1pr00000054984143,38212519,3418108,315,Chris Taylor,0913913905/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80443386376,SN761763,2024/10/02 06:40:05 PM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,,,
2024-09-30 19:10:48,h1pr00000072861233,38212509,3418108,315,Emily Smith,0953191853/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80440588267,SN963842,2024/10/03 09:40:06 AM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,,,
2024-09-30 19:10:08,h1pr00000020938349,38212502,3418108,315,Jessica Jackson,0920354509/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80437838951,SN797599,2024/10/02 05:40:05 PM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,2024/10/08,,
2024-09-30 19:09:29,h1pr00000030789998,38212495,3418108,315,Emily Thomas,0952060783/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",包裹配達取件門市,J80435667077,SN519655,2024/10/03 11:40:04 AM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,,,
2024-09-30 19:08:13,h1pr00000072462378,38212486,3418108,565,Sarah White,0952261521/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80431880315,SN182119,2024/10/02 05:40:05 PM, - , - , - ,69,0,已歸還,2024/10/08,565,0.79%,5,560,2024/10/08,,
2024-09-30 19:07:39,h1pr00000038437589,38212481,3418108,315,John White,0990381027/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80429953599,SN297822,2024/10/02 06:40:05 PM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,2024/10/08,,
2024-09-30 19:07:01,h1pr00000079173659,38212474,3418108,315,David Martin,0956657416/,7-ELEVEN(交貨便),超商門市寄/取貨,貨到付款,常溫,"=""",買家已到店取貨,J80428004219,SN209205,2024/10/03 08:40:09 AM, - , - , - ,69,0,已歸還,2024/10/08,315,0.79%,3,312,2024/10/08,,
