訂單編號,廠商交易編號,狀態,日期,姓名,超商門市,賣貨便編號_1,賣貨便編號_2,電話,商品名稱,數量,商品金額,總金額,訂單備註,付款方式,Email
745,h1pr00000048920415,完成,2024-09-28 17:40,Michael Brown,平東門市,J8039354,7050,0922540687/,Catherine Sakura Polaroid,1,250,315,,貨到付款,chris.smith7117@gmail.com
746,h1pr00000070071591,完成,2024-09-28 18:03,Chris Anderson,安冠門市,J8039094,2997,0920180043/,Chelsea Sakura Polaroid,1,250,315,,貨到付款,daniel.thomas6351@gmail.com
747,h1pr00000052295737,完成,2024-09-28 18:09,Sarah Johnson,萬能科門市,J8038776,473,0984025920/,Catherine Sakura Polaroid,1,250,315,,貨到付款,daniel.smith1565@gmail.com
748,h1pr00000018382676,完成,2024-09-28 18:38,David Harris,福緻門市,J8038100,1927,0973937653/,Chelsea Sakura Polaroid,1,250,315,"雖然我是男生 但我還是留言申請了
因為我真的很常被認成小姐或是妹妹
雖然應該不太可能 但還是留一下ID flashpoint.0316",貨到付款,michael.thomas8004@gmail.com
749,h1pr00000031720066,完成,2024-09-28 18:55,John Jackson,科建門市,J8036708,9411,0940103745/,Chelsea Sakura Polaroid,1,250,315,,貨到付款,jessica.taylor7249@gmail.com
750,h1pr00000096433115,完成,2024-09-28 20:36,Chris Thomas,寬士村門市,J8036272,8336,0910878834/,Chelsea Sakura Polaroid,1,250,315,,綠界信用卡,sarah.johnson3263@gmail.com
751,h1pr00000028041479,完成,2024-09-28 20:42,Sophia Johnson,寬士村門市,J8036106,5552,0973361928/,Catherine Sakura Polaroid,1,250,315,,綠界信用卡,michael.white9292@gmail.com
752,h1pr00000050909075,完成,2024-09-28 20:59,Sarah White,理園門市,J8035247,8197,0911395394/,Chelsea Sakura Polaroid,1,250,315,,貨到付款,john.smith8005@gmail.com
753,h1pr00000047604869,完成,2024-09-28 22:28,David Smith,天下門市,J8034929,85,0931780407/,Chelsea Sakura Polaroid,1,250,315,,貨到付款,john.harris6345@gmail.com
754,h1pr00000074129049,完成,2024-09-28 23:51,Emma Martin,員和門市,J8034650,5623,0923198378/,Catherine Sakura Polaroid,1,250,315,,貨到付款,jessica.thomas5139@gmail.com
755,h1pr00000065858525,完成,2024-09-29 01:11,John Smith,忠太門市,J8034294,8695,0918865802/,Catherine Sakura Polaroid,1,250,315,,貨到付款,jessica.harris752@gmail.com
756,h1pr00000046965479,完成,2024-09-29 02:09,Sophia Anderson,吉江門市,J8033961,9609,0931235965/,Catherine Sakura Polaroid,1,250,315,,貨到付款,sophia.harris6861@gmail.com
757,h1pr00000013362472,完成,2024-09-29 02:10,Emma Taylor,校舍門市,J8033672,9494,0929499348/,Chelsea Sakura Polaroid,1,250,315,,貨到付款,daniel.brown2496@gmail.com
758,h1pr00000076815316,已取消,2024-09-29 02:41,David White,雲桐門市,J8033082,1226,0927159022/,Chelsea Sakura Polaroid,1,250,315,,貨到付款,emily.brown1713@gmail.com
759,h1pr00000054038048,完成,2024-09-29 21:19,Sophia Smith,凱悅門市,J8032212,9188,0999325366/,Catherine Sakura Polaroid,1,250,315,,貨到付款,sophia.white1105@gmail.com
779,h1pr00000059303075,完成,2024-10-03 15:24,Sophia Taylor,精明門市,J9194437,9076,0966194926/,Catherine Sakura Polaroid,1,250,315,,綠界信用卡,david.martin7127@gmail.com
786,h1pr00000062432193,完成,2024-10-05 11:51,Sarah Anderson,邁群門市,K0059319,745,0943646057/,Catherine Sakura Polaroid,1,250,320,無,貨到付款,emily.white6660@gmail.com
