匯入單號,自訂編號,客戶編號,統一編號,客戶名稱,客戶地址,客戶手機號碼,客戶電子信箱,課稅別,發票金額,發票捐贈,發票捐贈代碼,載具類別,載具編號,列印註記,備註,字軌類別,商品名稱,購買數量,商品單位,單價,商品備註,經海註記,特種稅額類別,商品課稅別
1.0,h1pr00000049024763,,,Sophia White,,,emily.johnson5872@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Catherine Sakura Polaroid,1,,,,,,
1,,,,,,,,,,,,,,,,,運費,1,,,,,,
2,h1pr00000054984143,,,Chris Taylor,,,emily.martin6324@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Catherine Sakura Polaroid,1,,,,,,
2,,,,,,,,,,,,,,,,,運費,1,,,,,,
3,h1pr00000072861233,,,Emily Smith,,,david.thomas2100@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Chelsea Sakura Polaroid,1,,,,,,
3,,,,,,,,,,,,,,,,,運費,1,,,,,,
4,h1pr00000020938349,,,Jessica Jackson,,,david.harris6172@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Catherine Sakura Polaroid,1,,,,,,
4,,,,,,,,,,,,,,,,,運費,1,,,,,,
5,h1pr00000030789998,,,Emily Thomas,,,emma.brown5237@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Chelsea Sakura Polaroid,1,,,,,,
5,,,,,,,,,,,,,,,,,運費,1,,,,,,
6,h1pr00000072462378,,,Sarah White,,,david.thomas1915@gmail.com,1.0,565,0.0,,1.0,,0.0,,7.0,Chelsea Sakura Polaroid,1,,,,,,
6,,,,,,,,,,,,,,,,,Catherine Sakura Polaroid,1,,,,,,
6,,,,,,,,,,,,,,,,,運費,1,,,,,,
7,h1pr00000038437589,,,John White,,,emily.johnson3106@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Chelsea Sakura Polaroid,1,,,,,,
7,,,,,,,,,,,,,,,,,運費,1,,,,,,
8,h1pr00000079173659,,,David Martin,,,chris.johnson2264@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Chelsea Sakura Polaroid,1,,,,,,
8,,,,,,,,,,,,,,,,,運費,1,,,,,,
9,h1pr00000091019359,,,Sarah Taylor,,,emily.taylor191@gmail.com,1.0,315,0.0,,1.0,,0.0,,7.0,Chelsea Sakura Polaroid,1,,,,,,
9,,,,,,,,,,,,,,,,,運費,1,,,,,,
10,h1pr00000031061918,,,Sarah Johnson,,,sophia.johnson653@gmail.com,1.0,565,0.0,,1.0,,0.0,,7.0,Catherine Sakura Polaroid,1,,,,,,
